hour_index,trigger,actual_compute_seconds,baseline_forecast,SARIMAX_forecast,LightGBM_forecast,selected_model,selected_forecast
293,queue,18611496.74099999,21342929.008000005,22027210.343908563,20893093.563253425,Historical Hour-of-Day Mean,23536400.3105
293,storage,532113.041,731840.6569999998,404603.5550065268,563412.5719677022,Historical Hour-of-Day Mean,422607.706
293,timer,1111510.648,1142470.5480000002,1148503.1164698042,1141400.939950885,Historical Hour-of-Day Mean,1108115.1472777778
294,event,2119708.894,1687477.7269999995,1956576.4297559897,2541735.928214333,Historical Hour-of-Day Mean,2997536.7735
294,http,4298933.708999998,2575360.488999999,3463059.2051730994,3085567.1249736585,Historical Hour-of-Day Mean,4908901.061474602
294,orchestration,555638.2899999998,645171.2580000001,695710.9298064734,836158.9677760303,Historical Hour-of-Day Mean,545923.3289999999
294,others,8012.164999999999,30239.63299999999,85330.84974979304,180743.98094323365,Historical Hour-of-Day Mean,15912.373666666668
294,queue,16750325.329000002,21762492.474,21173858.10952815,19790389.94206737,Historical Hour-of-Day Mean,21927592.69116668
294,storage,390466.7520000001,678753.108,403228.6867233216,638852.0702152203,Historical Hour-of-Day Mean,659521.685
294,timer,1135457.523,1172825.912,1189017.1104684146,1210821.4107982926,Historical Hour-of-Day Mean,1141921.3539444443
295,event,2156785.9480000003,1705547.24,1932367.2906219105,2574709.418957809,Historical Hour-of-Day Mean,2967596.981666667
295,http,4103796.294,2489934.6200000006,3522765.981600335,3181019.805600722,Historical Hour-of-Day Mean,4582646.942625149
295,orchestration,609091.595,621427.582,697009.4181335653,813104.5305853946,Historical Hour-of-Day Mean,610638.8848333334
295,others,4381.653,22130.187,94024.28584772034,173683.11088465413,Historical Hour-of-Day Mean,17017.087833333328
295,queue,18134587.434,22532949.255000003,20315118.39591787,19819706.70122301,Historical Hour-of-Day Mean,19488523.5475
295,storage,463507.934,543570.6950000002,401055.3872413312,748430.7371780593,Historical Hour-of-Day Mean,384408.2333333332
295,timer,1110884.904,1160499.496,1151159.0685652397,1137639.6275351946,Historical Hour-of-Day Mean,1107794.8359444444
296,event,2115122.988,1854864.936,1921094.8855612788,2580908.4958148533,Historical Hour-of-Day Mean,2848593.065166667
296,http,3626835.3042000006,2522986.9219999984,3573580.042966304,2883233.16461989,Historical Hour-of-Day Mean,4775598.725387042
296,orchestration,647486.6649999998,923697.1859999998,761659.9671494252,923959.851100126,Historical Hour-of-Day Mean,623591.4478333333
296,others,7573.463000000002,44572.514,102425.15252877356,213476.52394767423,Historical Hour-of-Day Mean,17554.05733333333
296,queue,17402331.995,21067121.308,20132089.61805245,18955274.28341557,Historical Hour-of-Day Mean,19284979.825
296,storage,458034.5160000001,605371.218,401666.26830563607,618430.673075001,Historical Hour-of-Day Mean,298385.57300000003
296,timer,1108317.9669999997,1166349.5620000002,1166898.4739056968,1178469.421909163,Historical Hour-of-Day Mean,1116797.6591111112
297,event,2087602.154,1882306.811,1910595.5706758397,2521854.5513085644,Historical Hour-of-Day Mean,2778672.2901666667
297,http,3498823.4347999985,6412531.309999999,3634966.953581519,2863118.895316182,Historical Hour-of-Day Mean,5164695.556337338
297,orchestration,634169.6479999999,691147.3080000001,709277.7902221666,845000.6735662257,Historical Hour-of-Day Mean,719158.3563333334
